address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
520 W 28th St # 14,New York,NY,10001,6195000,2147,2,3.0,2,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095788609_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # PH86C,New York,NY,10001,9255000,2566,3,4.0,2,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095788606_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # PH86D,New York,NY,10001,8475000,2515,3,4.0,2,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095792023_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
225 W 25th St Apt 6A,New York,NY,10001,865000,NA,1,1.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2095806824_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 77D,New York,NY,10001,5655000,1741,2,3.0,3,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095818424_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 77F,New York,NY,10001,5090000,1668,2,3.0,3,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095818422_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 63D,New York,NY,10001,5875000,2020,2,3.0,3,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095818421_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
522 W 29th St # PH10B,New York,NY,10001,15100000,2708,3,4.0,13,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095910630_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
522 W 29th St # PH9B,New York,NY,10001,5995000,1638,2,3.0,16,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095925470_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 71A,New York,NY,10001,9495000,2407,3,4.0,16,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095927419_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 29A,New York,NY,10001,4945000,1782,2,3.0,18,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095953683_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 8,New York,NY,10001,4975000,1691,2,3.0,22,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100705269_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 28,New York,NY,10001,16000000,4219,4,5.0,22,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095984314_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 29H,New York,NY,10001,6450000,NA,3,3.0,31,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096090416_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 27G,New York,NY,10001,4315000,1464,2,3.0,37,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096174538_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 28D,New York,NY,10001,3785000,1571,2,3.0,40,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096214557_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 7th Ave Apt 5I,New York,NY,10001,4900000,2202,2,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/55501406_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
522 W 29th St # 9A,New York,NY,10001,22500000,4510,5,5.0,61,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096425505_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
151 W 28th St Apt 9W,New York,NY,10001,2900000,1800,2,2.0,66,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2096484244_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
31 W 31st St Apt 8,New York,NY,10001,2450000,2665,2,2.0,78,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2096632170_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 66B,New York,NY,10001,7935000,2320,2,3.0,79,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096642842_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 72E,New York,NY,10001,7590000,2285,3,4.0,79,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096642852_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # 70B,New York,NY,10001,11850000,3049,4,5.0,79,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096642841_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # PH84B,New York,NY,10001,12845000,3185,4,5.0,79,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096642845_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
430 W 34th St Apt 10D,New York,NY,10001,685000,750,1,1.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/121039302_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
225 W 25th St,New York,NY,10001,875000,NA,1,1.0,84,Foreclosure,"http://www.zillow.com/homes/for_sale/2114693113_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
263 9th Ave # 3BB,New York,NY,10001,2395000,1536,1,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096794868_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
540 W 28th St # Phb,New York,NY,10001,2950000,1231,2,2.0,93,Condo For Sale,"http://www.zillow.com/homes/for_sale/2108766066_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
150 W 26th St Apt 302,New York,NY,10001,1975000,1744,2,2.0,108,Condo For Sale,"http://www.zillow.com/homes/for_sale/60147934_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
433 W 34th St Apt 5K,New York,NY,10001,650000,700,1,1.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2101285513_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
261 W 28th St Apt 6B,New York,NY,10001,1999999,1265,2,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/83938253_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
522 W 29th St # 9B,New York,NY,10001,5995000,1638,2,3.0,118,Condo For Sale,"http://www.zillow.com/homes/for_sale/2097152746_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
261 W 28th St # Phc,New York,NY,10001,3995000,1672,2,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2097216439_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
225 W 25th St Apt 5C,New York,NY,10001,875000,750,1,1.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/79496012_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
527 W 27th St # 3A,New York,NY,10001,5150000,2218,3,4.0,201,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098168070_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
527 W 27th St # 4B,New York,NY,10001,1970000,762,1,1.0,201,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098168071_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
527 W 27th St # 7A,New York,NY,10001,7550000,2828,4,5.0,201,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098168072_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
527 W 27th St # 6B,New York,NY,10001,3695000,1539,2,3.0,201,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098168073_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
527 W 27th St # 4D,New York,NY,10001,4725000,1942,3,4.0,201,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098168074_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
245 7th Ave # Phbc,New York,NY,10001,9850000,3900,3,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098208345_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # PH37,New York,NY,10001,50000000,6853,5,7.0,231,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098508808_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
109 W 26th St Rm 6B,New York,NY,10001,1970000,1694,2,2.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2106025994_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
263 9th Ave # Phc,New York,NY,10001,8745000,3128,4,4.0,254,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098811119_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
40 W 28th St,New York,NY,10001,15500000,10500,0,NA,256,Townhouse For Sale,"http://www.zillow.com/homes/for_sale/2103215029_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
